id,name,birth,death,birth_location,created_at,updated_at
111, Smith Nate 1,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:22 UTC,2019-08-12 01:31:22 UTC
112, Smith Nate 2,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:22 UTC,2019-08-12 01:31:22 UTC
113, Smith Nate 3,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:22 UTC,2019-08-12 01:31:22 UTC
114, Smith Nate 4,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:22 UTC,2019-08-12 01:31:22 UTC
115, Smith Nate 5,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:22 UTC,2019-08-12 01:31:22 UTC
116, Smith Nate 6,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:22 UTC,2019-08-12 01:31:22 UTC
117, Smith Nate 7,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:22 UTC,2019-08-12 01:31:22 UTC
118, Smith Nate 8,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:22 UTC,2019-08-12 01:31:22 UTC
119, Smith Nate 9,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:22 UTC,2019-08-12 01:31:22 UTC
120, Smith Nate 10,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:22 UTC,2019-08-12 01:31:22 UTC
