id,name,birth,death,birth_location,created_at,updated_at
91, Smith Nate 1,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:24:33 UTC,2019-08-12 01:24:33 UTC
92, Smith Nate 2,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:24:33 UTC,2019-08-12 01:24:33 UTC
93, Smith Nate 3,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:24:33 UTC,2019-08-12 01:24:33 UTC
94, Smith Nate 4,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:24:33 UTC,2019-08-12 01:24:33 UTC
95, Smith Nate 5,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:24:33 UTC,2019-08-12 01:24:33 UTC
96, Smith Nate 6,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:24:33 UTC,2019-08-12 01:24:33 UTC
97, Smith Nate 7,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:24:33 UTC,2019-08-12 01:24:33 UTC
98, Smith Nate 8,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:24:33 UTC,2019-08-12 01:24:33 UTC
99, Smith Nate 9,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:24:33 UTC,2019-08-12 01:24:33 UTC
100, Smith Nate 10,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:24:33 UTC,2019-08-12 01:24:33 UTC
