id,name,birth,death,birth_location,created_at,updated_at
101, Smith Nate 1,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:02 UTC,2019-08-12 01:31:02 UTC
102, Smith Nate 2,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:02 UTC,2019-08-12 01:31:02 UTC
103, Smith Nate 3,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:02 UTC,2019-08-12 01:31:02 UTC
104, Smith Nate 4,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:02 UTC,2019-08-12 01:31:02 UTC
105, Smith Nate 5,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:02 UTC,2019-08-12 01:31:02 UTC
106, Smith Nate 6,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:02 UTC,2019-08-12 01:31:02 UTC
107, Smith Nate 7,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:02 UTC,2019-08-12 01:31:02 UTC
108, Smith Nate 8,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:02 UTC,2019-08-12 01:31:02 UTC
109, Smith Nate 9,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:02 UTC,2019-08-12 01:31:02 UTC
110, Smith Nate 10,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:31:02 UTC,2019-08-12 01:31:02 UTC
