id,name,birth,death,birth_location,created_at,updated_at
31, Smith Nate 1,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:07:45 UTC,2019-08-11 18:07:45 UTC
32, Smith Nate 2,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:07:45 UTC,2019-08-11 18:07:45 UTC
33, Smith Nate 3,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:07:45 UTC,2019-08-11 18:07:45 UTC
34, Smith Nate 4,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:07:45 UTC,2019-08-11 18:07:45 UTC
35, Smith Nate 5,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:07:45 UTC,2019-08-11 18:07:45 UTC
36, Smith Nate 6,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:07:45 UTC,2019-08-11 18:07:45 UTC
37, Smith Nate 7,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:07:45 UTC,2019-08-11 18:07:45 UTC
38, Smith Nate 8,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:07:45 UTC,2019-08-11 18:07:45 UTC
39, Smith Nate 9,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:07:45 UTC,2019-08-11 18:07:45 UTC
40, Smith Nate 10,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:07:45 UTC,2019-08-11 18:07:45 UTC
