id,name,birth,death,birth_location,created_at,updated_at
21, Smith Nate 1,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:05:24 UTC,2019-08-11 18:05:24 UTC
22, Smith Nate 2,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:05:24 UTC,2019-08-11 18:05:24 UTC
23, Smith Nate 3,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:05:24 UTC,2019-08-11 18:05:24 UTC
24, Smith Nate 4,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:05:24 UTC,2019-08-11 18:05:24 UTC
25, Smith Nate 5,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:05:24 UTC,2019-08-11 18:05:24 UTC
26, Smith Nate 6,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:05:24 UTC,2019-08-11 18:05:24 UTC
27, Smith Nate 7,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:05:24 UTC,2019-08-11 18:05:24 UTC
28, Smith Nate 8,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:05:24 UTC,2019-08-11 18:05:24 UTC
29, Smith Nate 9,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:05:24 UTC,2019-08-11 18:05:24 UTC
30, Smith Nate 10,1950,2000,"Minneapolis, MN, United States",2019-08-11 18:05:24 UTC,2019-08-11 18:05:24 UTC
