id,name,birth,death,birth_location,created_at,updated_at
51, Smith Nate 1,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:18:43 UTC,2019-08-12 01:18:43 UTC
52, Smith Nate 2,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:18:43 UTC,2019-08-12 01:18:43 UTC
53, Smith Nate 3,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:18:43 UTC,2019-08-12 01:18:43 UTC
54, Smith Nate 4,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:18:43 UTC,2019-08-12 01:18:43 UTC
55, Smith Nate 5,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:18:43 UTC,2019-08-12 01:18:43 UTC
56, Smith Nate 6,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:18:43 UTC,2019-08-12 01:18:43 UTC
57, Smith Nate 7,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:18:43 UTC,2019-08-12 01:18:43 UTC
58, Smith Nate 8,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:18:43 UTC,2019-08-12 01:18:43 UTC
59, Smith Nate 9,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:18:43 UTC,2019-08-12 01:18:43 UTC
60, Smith Nate 10,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:18:43 UTC,2019-08-12 01:18:43 UTC
