id,name,birth,death,birth_location,created_at,updated_at
61, Smith Nate 1,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:20:49 UTC,2019-08-12 01:20:49 UTC
62, Smith Nate 2,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:20:49 UTC,2019-08-12 01:20:49 UTC
63, Smith Nate 3,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:20:49 UTC,2019-08-12 01:20:49 UTC
64, Smith Nate 4,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:20:49 UTC,2019-08-12 01:20:49 UTC
65, Smith Nate 5,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:20:49 UTC,2019-08-12 01:20:49 UTC
66, Smith Nate 6,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:20:49 UTC,2019-08-12 01:20:49 UTC
67, Smith Nate 7,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:20:49 UTC,2019-08-12 01:20:49 UTC
68, Smith Nate 8,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:20:49 UTC,2019-08-12 01:20:49 UTC
69, Smith Nate 9,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:20:49 UTC,2019-08-12 01:20:49 UTC
70, Smith Nate 10,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:20:49 UTC,2019-08-12 01:20:49 UTC
