id,name,birth,death,birth_location,created_at,updated_at
81, Smith Nate 1,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:22:35 UTC,2019-08-12 01:22:35 UTC
82, Smith Nate 2,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:22:35 UTC,2019-08-12 01:22:35 UTC
83, Smith Nate 3,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:22:35 UTC,2019-08-12 01:22:35 UTC
84, Smith Nate 4,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:22:35 UTC,2019-08-12 01:22:35 UTC
85, Smith Nate 5,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:22:35 UTC,2019-08-12 01:22:35 UTC
86, Smith Nate 6,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:22:35 UTC,2019-08-12 01:22:35 UTC
87, Smith Nate 7,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:22:35 UTC,2019-08-12 01:22:35 UTC
88, Smith Nate 8,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:22:35 UTC,2019-08-12 01:22:35 UTC
89, Smith Nate 9,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:22:35 UTC,2019-08-12 01:22:35 UTC
90, Smith Nate 10,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:22:35 UTC,2019-08-12 01:22:35 UTC
