id,name,birth,death,birth_location,created_at,updated_at
71, Smith Nate 1,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:21:32 UTC,2019-08-12 01:21:32 UTC
72, Smith Nate 2,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:21:32 UTC,2019-08-12 01:21:32 UTC
73, Smith Nate 3,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:21:32 UTC,2019-08-12 01:21:32 UTC
74, Smith Nate 4,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:21:32 UTC,2019-08-12 01:21:32 UTC
75, Smith Nate 5,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:21:32 UTC,2019-08-12 01:21:32 UTC
76, Smith Nate 6,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:21:32 UTC,2019-08-12 01:21:32 UTC
77, Smith Nate 7,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:21:32 UTC,2019-08-12 01:21:32 UTC
78, Smith Nate 8,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:21:32 UTC,2019-08-12 01:21:32 UTC
79, Smith Nate 9,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:21:32 UTC,2019-08-12 01:21:32 UTC
80, Smith Nate 10,1950,2000,"Minneapolis, MN, United States",2019-08-12 01:21:32 UTC,2019-08-12 01:21:32 UTC
