id,name,birth,death,birth_location,created_at,updated_at
11, Smith Nate 1,1950,2000,"Minneapolis, MN, United States",2019-08-11 17:47:52 UTC,2019-08-11 17:47:52 UTC
12, Smith Nate 2,1950,2000,"Minneapolis, MN, United States",2019-08-11 17:47:52 UTC,2019-08-11 17:47:52 UTC
13, Smith Nate 3,1950,2000,"Minneapolis, MN, United States",2019-08-11 17:47:52 UTC,2019-08-11 17:47:52 UTC
14, Smith Nate 4,1950,2000,"Minneapolis, MN, United States",2019-08-11 17:47:52 UTC,2019-08-11 17:47:52 UTC
15, Smith Nate 5,1950,2000,"Minneapolis, MN, United States",2019-08-11 17:47:52 UTC,2019-08-11 17:47:52 UTC
16, Smith Nate 6,1950,2000,"Minneapolis, MN, United States",2019-08-11 17:47:52 UTC,2019-08-11 17:47:52 UTC
17, Smith Nate 7,1950,2000,"Minneapolis, MN, United States",2019-08-11 17:47:52 UTC,2019-08-11 17:47:52 UTC
18, Smith Nate 8,1950,2000,"Minneapolis, MN, United States",2019-08-11 17:47:52 UTC,2019-08-11 17:47:52 UTC
19, Smith Nate 9,1950,2000,"Minneapolis, MN, United States",2019-08-11 17:47:52 UTC,2019-08-11 17:47:52 UTC
20, Smith Nate 10,1950,2000,"Minneapolis, MN, United States",2019-08-11 17:47:52 UTC,2019-08-11 17:47:52 UTC
